test_id	gene	SGCore_FPKM	Total_FPKM	Fold change	Localization	test_stat	p_value	q_value	significant	Number of RNA molecules in SGs per cell	Number of RNA molecules in cell	Fraction of RNA molecules in SGs	Translation efficiency	Transcript length	5'UTR length	3'UTR length	CDS length	GC content	Mito
ENSG00000165810	BTNL9	4.685	4.660	1.005	Neither	-0.0136094	0.9825	0.987119	no	0.430	3.647	0.118	#N/A	3500	207	1660	1608	49.92	Tnon_mito
ENSG00000166167	BTRC	10.885	10.241	1.063	Neither	-0.0554868	0.8302	0.890787	no	0.999	8.013	0.125	0.820065430752454	6134	147	4166	1818	38.96	Tnon_mito
ENSG00000169679	BUB1	61.421	70.337	0.873	Neither	0.739578	0.19155	0.335692	no	5.638	55.037	0.102	0.545454545454545	3576	370	129	3258	38.24	Tnon_mito
ENSG00000156970	BUB1B	73.106	34.465	2.121	enriched	-2.64525	0.00005	0.000236361	yes	6.711	26.968	0.249	0.90834312573443	3725	194	#N/A	3195	38.74	Tnon_mito
ENSG00000154473	BUB3	78.832	197.370	0.399	depleted	5.31296	0.00005	0.000236361	yes	7.236	154.437	0.047	1.14199212836815	7828	208	144	987	39.33	Tnon_mito
ENSG00000137656	BUD13	12.904	9.315	1.385	Neither	-1.99234	0.00035	0.0014418	yes	1.185	7.289	0.163	0.483912483912484	2196	23	103	1860	41.56	Tnon_mito
ENSG00000106245	BUD31	50.785	113.039	0.449	depleted	1.631	0.0055	0.0172986	yes	4.662	88.450	0.053	1.12558139534884	1139	363	174	435	48.46	Tnon_mito
ENSG00000112578	BYSL	17.825	29.653	0.601	Neither	2.97403	0.00005	0.000236361	yes	1.636	23.203	0.071	1.86979560938683	2029	374	339	1314	48.76	Tnon_mito
ENSG00000082153	BZW1	142.904	366.830	0.390	depleted	3.88059	0.00005	0.000236361	yes	13.118	287.034	0.046	0.607129349470499	6875	444	#N/A	1356	41.12	Tnon_mito
ENSG00000136261	BZW2	48.416	95.710	0.506	Neither	3.37523	0.00005	0.000236361	yes	4.444	74.891	0.059	0.561003420752566	2101	176	#N/A	1260	37.77	Tnon_mito
ENSG00000165507	C10orf10	3.049	2.824	1.079	Neither	-0.230901	0.6824	0.788756	no	0.280	2.210	0.127	#N/A	2120	192	#N/A	639	57.22	Tmito
ENSG00000148655	C10orf11	0.748	1.275	0.586	Neither	0.675244	0.2571	0.409628	no	0.069	0.998	0.069	#N/A	3923	875	86	681	41.12	Tnon_mito
ENSG00000165813	C10orf118	10.051	4.519	2.224	enriched	-3.64745	0.00005	0.000236361	yes	0.923	3.536	0.261	0.587121212121212	7245	205	1024	2697	37.11	Tnon_mito
ENSG00000107938	C10orf137	11.261	9.235	1.219	Neither	-1.02544	0.05415	0.125323	no	1.034	7.226	0.143	0.561387631975867	4387	292	102	3717	39.09	#N/A
ENSG00000107815	C10orf2	39.575	22.361	1.770	Neither	-1.18828	0.0363	0.0896391	no	3.633	17.497	0.208	0.57396449704142	3175	184	890	2055	52.35	Tmito
ENSG00000166275	C10orf32	1.862	5.662	0.329	depleted	4.08466	0.00005	0.000236361	yes	0.171	4.431	0.039	5.71830985915493	2422	63	483	321	41.69	Tnon_mito
ENSG00000171224	C10orf35	1.237	4.551	0.272	depleted	4.40697	0.00005	0.000236361	yes	0.114	3.561	0.032	#N/A	1065	92	#N/A	366	56.17	Tnon_mito
ENSG00000120029	C10orf76	6.372	5.761	1.106	Neither	-0.22166	0.63045	0.749425	no	0.585	4.508	0.130	1.10352187833511	4119	108	6	2070	42.35	Tnon_mito
ENSG00000119965	C10orf88	7.753	4.717	1.644	Neither	-1.1615	0.03835	0.0938102	no	0.712	3.691	0.193	1.11512415349887	2991	224	918	1338	36.24	Tnon_mito
ENSG00000171067	C11orf24	39.187	50.682	0.773	Neither	1.29374	0.02555	0.06641	no	3.597	39.657	0.091	0.52972972972973	2063	301	#N/A	1350	52.05	Tnon_mito
ENSG00000158636	C11orf30	22.805	17.045	1.338	Neither	-0.981701	0.09495	0.19968	no	2.093	13.337	0.157	0.583102493074792	6848	106	#N/A	4014	37.68	Tnon_mito
ENSG00000211450	C11orf31	13.407	82.083	0.163	depleted	1.65773	0.00045	0.00181548	yes	1.231	64.228	0.019	0.252783964365256	1454	345	#N/A	369	51.67	Tnon_mito
ENSG00000174370	C11orf45	2.968	3.592	0.826	Neither	0.553054	0.3328	0.489989	no	0.272	2.811	0.097	#N/A	3624	148	2991	438	52.14	Tnon_mito
ENSG00000162194	C11orf48	40.824	68.804	0.593	Neither	1.78487	0.0026	0.00887972	yes	3.747	53.837	0.070	0.428374655647383	2915	1733	280	870	52.45	Tpossible_mito
ENSG00000149179	C11orf49	9.557	10.457	0.914	Neither	0.189903	0.7254	0.820664	no	0.877	8.183	0.107	2.23076923076923	2141	108	132	1014	41.37	Tnon_mito
ENSG00000182919	C11orf54	2.583	6.876	0.376	Neither	0.28365	0.1435	0.273166	no	0.237	5.380	0.044	1.06530612244898	4094	908	3060	948	41.12	Tnon_mito
ENSG00000150776	C11orf57	42.768	24.325	1.758	Neither	-1.30833	0.0155	0.0431859	yes	3.926	19.034	0.206	0.279552715654952	3739	629	1161	882	40.81	Tnon_mito
ENSG00000110696	C11orf58	42.474	126.880	0.335	depleted	5.96259	0.00005	0.000236361	yes	3.899	99.280	0.039	0.882518390307226	4258	377	1118	552	38.23	Tnon_mito
ENSG00000175573	C11orf68	14.229	23.669	0.601	Neither	3.4096	0.00005	0.000236361	yes	1.306	18.521	0.071	1.32592592592593	1619	145	625	882	61.82	Tnon_mito
ENSG00000137691	C11orf70	0.737	2.442	0.302	depleted	2.92295	0.00005	0.000236361	yes	0.068	1.911	0.035	#N/A	2193	27	1360	804	39.98	Tnon_mito
ENSG00000180425	C11orf71	1.141	5.268	0.217	Neither	1.27759	0.1326	0.257669	no	0.105	4.122	0.025	#N/A	1980	179	1427	444	39.34	Tnon_mito
ENSG00000149196	C11orf73	3.757	15.155	0.248	depleted	7.18531	0.00005	0.000236361	yes	0.345	11.859	0.029	0.733041575492341	1694	237	292	594	37.85	Tnon_mito
ENSG00000166352	C11orf74	5.782	10.984	0.526	Neither	2.71119	0.00005	0.000236361	yes	0.531	8.595	0.062	0.523478260869565	1062	358	81	666	36.82	Tnon_mito
ENSG00000173715	C11orf80	8.734	7.760	1.125	Neither	-0.229089	0.6715	0.780486	no	0.802	6.072	0.132	0.369318181818182	2135	248	#N/A	2034	42.68	Tnon_mito
ENSG00000165490	C11orf82	26.274	26.740	0.983	Neither	0.0419938	0.9373	0.957618	no	2.412	20.923	0.115	0.291244239631336	3533	367	#N/A	2997	39.78	Tnon_mito
ENSG00000204922	C11orf83	3.177	11.392	0.279	depleted	3.16132	0.00005	0.000236361	yes	0.292	8.914	0.033	0.964912280701754	2288	461	1462	282	52.86	Tnon_mito
ENSG00000168005	C11orf84	29.299	24.101	1.216	Neither	-1.13549	0.04805	0.113497	no	2.689	18.858	0.143	0.711988304093567	2024	298	578	1146	52.9	Tnon_mito
ENSG00000188070	C11orf95	12.469	7.086	1.760	Neither	-0.723964	0.01705	0.0468726	yes	1.145	5.544	0.206	0.231511254019293	5716	152	#N/A	2037	61.54	Tnon_mito
ENSG00000187479	C11orf96	1.110	2.044	0.543	Neither	2.88731	0.00005	0.000236361	yes	0.102	1.600	0.064	#N/A	1834	314	528	1308	53.45	Tnon_mito
ENSG00000139637	C12orf10	13.468	50.089	0.269	depleted	4.59501	0.00005	0.000236361	yes	1.236	39.193	0.032	1.51653363740023	1369	169	8	1131	51.21	Tmito
ENSG00000151135	C12orf23	8.367	18.518	0.452	depleted	3.79113	0.00005	0.000236361	yes	0.768	14.490	0.053	1.01353965183752	3362	364	#N/A	351	38.27	Tnon_mito
ENSG00000133641	C12orf29	4.970	11.197	0.444	depleted	1.91303	0.00335	0.0111087	yes	0.456	8.762	0.052	1.30859728506787	3079	202	1737	978	36.21	Tnon_mito
ENSG00000134548	C12orf39	0.838	1.351	0.620	Neither	1.25637	0.0262	0.0679174	no	0.077	1.057	0.073	#N/A	2269	165	1751	351	38.5	Tnon_mito
ENSG00000047621	C12orf4	9.733	14.819	0.657	Neither	1.79982	0.0017	0.00606644	yes	0.893	11.596	0.077	1.00741350906096	3826	181	172	1659	36.55	Tnon_mito
ENSG00000157895	C12orf43	17.748	14.957	1.187	Neither	-0.738054	0.19475	0.339202	no	1.629	11.704	0.139	1.16025641025641	4469	79	200	882	49.65	Tnon_mito
ENSG00000123395	C12orf44	36.750	57.751	0.636	Neither	2.36092	0.00015	0.000660424	yes	3.373	45.188	0.075	0.860344827586207	1439	341	303	657	51.45	#N/A
ENSG00000151131	C12orf45	5.507	13.732	0.401	depleted	2.26272	0.0014	0.00510499	yes	0.506	10.745	0.047	1.21617418351477	23529	42	#N/A	636	39.89	Tnon_mito
ENSG00000111412	C12orf49	28.810	37.272	0.773	Neither	1.49037	0.01015	0.0297665	yes	2.645	29.164	0.091	0.425076452599388	8404	307	118	618	44.28	Tnon_mito
ENSG00000078237	C12orf5	8.650	20.693	0.418	depleted	5.02638	0.00005	0.000236361	yes	0.794	16.191	0.049	1.48550724637681	3633	993	1857	813	41.93	Tnon_mito
ENSG00000139405	C12orf52	10.799	14.978	0.721	Neither	2.19433	0.0002	0.000861904	yes	0.991	11.720	0.085	0.243564356435644	2053	495	546	882	51.56	#N/A
ENSG00000130921	C12orf65	16.715	11.047	1.513	Neither	-1.03086	0.0619	0.140171	no	1.534	8.644	0.178	0.917322834645669	3733	3289	#N/A	501	47.41	Tmito
ENSG00000174206	C12orf66	1.473	2.128	0.693	Neither	1.43492	0.01225	0.0351564	yes	0.135	1.665	0.081	0.703422053231939	4151	58	#N/A	1407	39.91	Tnon_mito
ENSG00000177875	C12orf68	1.727	1.386	1.247	Neither	-1.13268	0.04935	0.116003	no	0.159	1.084	0.146	#N/A	2343	538	1218	585	60.31	Tnon_mito
ENSG00000204954	C12orf73	1.023	3.003	0.341	Neither	0.393132	0.0238	0.0624471	no	0.094	2.350	0.040	2.0958904109589	1738	451	#N/A	216	41.85	Tnon_mito
ENSG00000235162	C12orf75	32.021	79.712	0.402	depleted	2.58051	0.0001	0.000452612	yes	2.939	62.372	0.047	1.66438356164384	1366	255	#N/A	267	41.95	Tnon_mito
ENSG00000174456	C12orf76	1.057	2.416	0.438	Neither	0.714692	0.1274	0.250147	no	0.097	1.890	0.051	#N/A	2204	374	1621	408	45.73	Tnon_mito
ENSG00000133935	C14orf1	3.421	7.842	0.436	depleted	2.37758	0.00055	0.00217644	yes	0.314	6.136	0.051	2.01515151515152	2633	414	1763	423	44.19	Tnon_mito
ENSG00000100557	C14orf105	1.514	1.103	1.372	Neither	-0.751373	0.1777	0.319321	no	0.139	0.863	0.161	#N/A	3082	151	#N/A	1011	39.97	Tnon_mito
ENSG00000179933	C14orf119	11.726	26.126	0.449	Neither	1.59761	0.0126	0.0360337	yes	1.076	20.443	0.053	1.40265486725664	3660	854	2380	423	47.09	Tpossible_mito
ENSG00000227051	C14orf132	6.938	1.635	4.244	enriched	-3.75261	0.00005	0.000236361	yes	0.637	1.279	0.498	#N/A	7583	176	365	345	47.76	Tnon_mito
ENSG00000170270	C14orf142	1.320	6.965	0.189	depleted	2.21896	0.0003	0.00124724	yes	0.121	5.450	0.022	1	1154	56	#N/A	303	43.35	Tnon_mito
ENSG00000133943	C14orf159	3.967	4.692	0.846	Neither	0.519333	0.3689	0.52621	no	0.364	3.671	0.099	1.23555555555556	3075	521	518	1866	46.93	Tmito
ENSG00000087302	C14orf166	61.724	67.275	0.917	Neither	0.560031	0.3277	0.484773	no	5.666	52.641	0.108	0.997037374658158	7075	164	6174	735	36.73	Tnon_mito
ENSG00000156411	C14orf2	7.695	87.503	0.088	depleted	7.60547	0.00005	0.000236361	yes	0.706	68.469	0.010	2.06923076923077	1659	217	#N/A	300	47.77	Tpossible_mito
ENSG00000179476	C14orf28	5.096	3.560	1.431	Neither	-1.49169	0.0081	0.0244162	yes	0.468	2.786	0.168	0.0307692307692308	3498	273	1706	933	36.63	Tnon_mito
ENSG00000139971	C14orf37	2.910	1.340	2.171	Neither	-0.477613	0.08635	0.18469	no	0.267	1.048	0.255	1.1505376344086	6495	138	263	2325	40.15	Tnon_mito
ENSG00000179008	C14orf39	5.477	4.888	1.120	Neither	-0.161171	0.774	0.853662	no	0.503	3.825	0.131	#N/A	2813	151	80	1764	37.01	Tnon_mito
ENSG00000140104	C14orf79	2.282	2.122	1.076	Neither	-0.0989905	0.8364	0.895397	no	0.210	1.660	0.126	0.768421052631579	2503	1780	130	978	53.3	Tnon_mito
ENSG00000100802	C14orf93	5.742	6.001	0.957	Neither	0.166925	0.7706	0.851624	no	0.527	4.696	0.112	0.341772151898734	3354	378	69	1617	45.67	Tnon_mito
ENSG00000242498	C15orf38	10.120	6.827	1.482	Neither	-1.27655	0.0373	0.0917133	no	0.929	5.342	0.174	#N/A	7591	635	288	681	49.81	Tnon_mito
ENSG00000250021	C15orf38-AP3S2	13.957	11.946	1.168	Neither	-0.461629	0.3653	0.52276	no	1.281	9.348	0.137	0.637959866220736	2439	120	#N/A	1185	45.41	Tnon_mito
ENSG00000167173	C15orf39	30.793	10.899	2.825	enriched	-3.74043	0.00005	0.000236361	yes	2.827	8.528	0.331	1.22782037239869	4517	295	1052	3144	58.35	Tnon_mito
ENSG00000169609	C15orf40	14.026	26.909	0.521	Neither	0.810393	0.10715	0.219747	no	1.287	21.056	0.061	0.835820895522388	11244	33	80	504	44.6	Tnon_mito
ENSG00000186073	C15orf41	3.397	5.319	0.639	Neither	1.15107	0.0557	0.128157	no	0.312	4.162	0.075	2.53846153846154	5843	249	#N/A	864	37.44	Tnon_mito
ENSG00000188549	C15orf52	52.414	30.566	1.715	Neither	-1.58454	0.0052	0.0164597	yes	4.811	23.917	0.201	#N/A	5021	316	1400	1605	58.79	Tnon_mito
ENSG00000128891	C15orf57	5.703	9.592	0.595	Neither	1.42118	0.01365	0.038616	yes	0.524	7.506	0.070	2.69354838709677	6131	266	590	612	45.99	Tnon_mito
ENSG00000205363	C15orf59	5.384	2.040	2.639	enriched	-3.25307	0.00005	0.000236361	yes	0.494	1.597	0.310	0.0566037735849057	6573	637	114	882	54.89	Tnon_mito
ENSG00000189227	C15orf61	4.882	6.440	0.758	Neither	0.457147	0.4164	0.570875	no	0.448	5.039	0.089	2.61702127659574	4253	492	3597	474	39.21	Tmito
ENSG00000130731	C16orf13	10.224	41.562	0.246	depleted	7.80157	0.00005	0.000236361	yes	0.938	32.521	0.029	1.20129032258065	1710	75	12	618	67.84	Tnon_mito
ENSG00000166780	C16orf45	14.430	21.011	0.687	Neither	1.08077	0.0558	0.128352	no	1.325	16.441	0.081	#N/A	2404	358	138	615	45.91	Tnon_mito
ENSG00000166455	C16orf46	2.961	2.027	1.461	Neither	-1.07563	0.0555	0.12779	no	0.272	1.586	0.171	#N/A	1857	149	180	1188	43.5	Tnon_mito
ENSG00000185716	C16orf52	10.608	7.795	1.361	Neither	-1.25312	0.0317	0.0798358	no	0.974	6.099	0.160	#N/A	4360	92	477	504	39.3	Tnon_mito
ENSG00000140688	C16orf58	14.539	20.098	0.723	Neither	1.3271	0.0212	0.0565072	no	1.335	15.726	0.085	0.764453961456103	2793	182	76	1407	51.18	Tnon_mito
ENSG00000162062	C16orf59	15.466	17.520	0.883	Neither	0.665175	0.23735	0.387892	no	1.420	13.709	0.104	0.69844020797227	2156	304	#N/A	1302	62.04	Tnon_mito
ENSG00000103544	C16orf62	14.087	15.574	0.905	Neither	0.244098	0.64425	0.75942	no	1.293	12.186	0.106	0.75894538606403	3894	404	1491	3159	45.1	Tnon_mito
ENSG00000125149	C16orf70	20.100	10.819	1.858	Neither	-2.59837	0.00005	0.000236361	yes	1.845	8.466	0.218	0.843347639484979	2865	187	223	1269	47.85	Tnon_mito
ENSG00000182831	C16orf72	17.719	10.442	1.697	Neither	-2.57558	0.00015	0.000660424	yes	1.626	8.171	0.199	0.754854368932039	10359	396	4727	828	42.03	Tnon_mito
ENSG00000154102	C16orf74	2.130	4.716	0.452	depleted	3.464	0.00005	0.000236361	yes	0.195	3.690	0.053	#N/A	1237	550	353	231	53.1	Tnon_mito
ENSG00000070761	C16orf80	37.781	53.577	0.705	Neither	1.25278	0.0298	0.0756628	no	3.468	41.922	0.083	1.77746870653686	1605	334	#N/A	582	44.93	Tnon_mito
ENSG00000155330	C16orf87	4.120	3.672	1.122	Neither	-0.31832	0.5569	0.692862	no	0.378	2.874	0.132	1.89130434782609	6640	261	#N/A	485	37.09	Tnon_mito
ENSG00000174109	C16orf91	4.047	13.540	0.299	depleted	6.70585	0.00005	0.000236361	yes	0.371	10.595	0.035	0.35672514619883	1005	76	501	399	56.95	Tmito
ENSG00000196118	C16orf93	1.802	2.687	0.671	Neither	0.138182	0.44995	0.601086	no	0.165	2.103	0.079	0.736842105263158	2114	961	125	1191	54.9	Tnon_mito
ENSG00000258315	C17orf49	9.357	22.747	0.411	depleted	2.81978	0.00005	0.000236361	yes	0.859	17.799	0.048	#N/A	2343	362	53	579	58.07	Tnon_mito
ENSG00000125319	C17orf53	11.275	9.031	1.248	Neither	-1.25433	0.0312	0.0788127	no	1.035	7.067	0.146	1.14678899082569	2725	236	#N/A	1944	50.23	Tnon_mito
ENSG00000196544	C17orf59	0.723	1.089	0.664	Neither	1.74436	0.00285	0.00963566	yes	0.066	0.852	0.078	0.778481012658228	2575	766	#N/A	1074	61.48	Tnon_mito
ENSG00000178927	C17orf62	44.377	54.976	0.807	Neither	0.751579	0.2068	0.353571	no	4.074	43.017	0.095	0.924528301886793	4327	295	69	573	60.43	Tnon_mito
ENSG00000214226	C17orf67	1.904	1.600	1.189	Neither	-0.436066	0.43805	0.590412	no	0.175	1.252	0.140	#N/A	2013	444	19	273	44.82	Tnon_mito
ENSG00000185504	C17orf70	21.572	25.271	0.854	Neither	0.866338	0.12335	0.24471	no	1.980	19.774	0.100	0.237713139418255	3822	469	#N/A	2646	61.6	Tnon_mito
ENSG00000108666	C17orf75	4.290	15.252	0.281	depleted	1.79983	0.00235	0.00811382	yes	0.394	11.934	0.033	0.5633626097867	4581	149	104	1191	44.91	Tnon_mito
ENSG00000141219	C17orf80	16.120	14.405	1.119	Neither	-0.302882	0.5576	0.693322	no	1.480	11.271	0.131	0.608385370205174	3645	596	188	1830	44.12	Tnon_mito
ENSG00000074356	C17orf85	16.936	16.000	1.058	Neither	-0.113977	0.7863	0.862399	no	1.555	12.519	0.124	0.798651252408478	12770	27	#N/A	1863	44.57	Tnon_mito
ENSG00000224877	C17orf89	29.997	80.961	0.371	depleted	4.7047	0.00005	0.000236361	yes	2.753	63.350	0.043	3.66071428571429	741	124	#N/A	239	58.49	Tpossible_mito
ENSG00000141428	C18orf21	11.598	17.442	0.665	Neither	0.934859	0.08925	0.189718	no	1.065	13.648	0.078	1.06078431372549	1581	645	271	663	42.7	Tnon_mito
ENSG00000152242	C18orf25	13.416	14.450	0.928	Neither	0.24829	0.6539	0.766995	no	1.232	11.307	0.109	0.847277556440903	5462	303	3872	1215	40.58	Tnon_mito
ENSG00000177576	C18orf32	3.253	7.462	0.436	depleted	2.43131	0.0001	0.000452612	yes	0.299	5.839	0.051	3.95744680851064	5395	188	278	231	43.19	Tnon_mito
ENSG00000166845	C18orf54	13.686	3.066	4.464	enriched	-5.49353	0.00005	0.000236361	yes	1.256	2.399	0.524	0.224576271186441	5693	285	101	1602	34.77	Tnon_mito
ENSG00000141452	C18orf8	10.865	12.285	0.884	Neither	0.216047	0.65995	0.772187	no	0.997	9.613	0.104	0.975708502024292	2162	148	77	1974	45.14	Tnon_mito
ENSG00000074842	C19orf10	26.726	55.132	0.485	depleted	3.16004	0.00005	0.000236361	yes	2.453	43.139	0.057	1.19452887537994	1018	35	114	570	54.74	Tnon_mito
ENSG00000131943	C19orf12	26.776	37.803	0.708	Neither	1.98049	0.00035	0.0014418	yes	2.458	29.580	0.083	4.36	4489	226	73	459	50.38	Tpossible_mito
ENSG00000228300	C19orf24	9.035	16.127	0.560	Neither	2.7201	0.00005	0.000236361	yes	0.829	12.619	0.066	2.31645569620253	1675	116	34	399	63.69	Tnon_mito
ENSG00000119559	C19orf25	14.678	21.690	0.677	Neither	1.48525	0.00555	0.0174406	yes	1.347	16.972	0.079	1.23478260869565	2403	393	283	483	62.65	Tnon_mito
ENSG00000099625	C19orf26	4.760	3.987	1.194	Neither	-0.301501	0.6106	0.73368	no	0.437	3.120	0.140	#N/A	4261	271	90	2178	70.01	Tnon_mito
ENSG00000167644	C19orf33	17.430	83.224	0.209	depleted	9.20111	0.00005	0.000236361	yes	1.600	65.120	0.025	#N/A	520	100	44	321	65.49	Tnon_mito
ENSG00000131944	C19orf40	3.977	3.865	1.029	Neither	-0.123522	0.8307	0.891285	no	0.365	3.024	0.121	2.36	2298	137	167	648	49.22	Tnon_mito
ENSG00000123144	C19orf43	49.375	87.459	0.565	Neither	3.97766	0.00005	0.000236361	yes	4.532	68.434	0.066	1.14861111111111	988	117	156	531	54.86	Tnon_mito
ENSG00000105072	C19orf44	4.020	2.287	1.758	Neither	-0.636897	0.1874	0.330949	no	0.369	1.789	0.206	0.677316293929712	3427	236	1256	1974	51.63	Tnon_mito
ENSG00000160392	C19orf47	14.156	17.245	0.821	Neither	0.508098	0.38875	0.545089	no	1.299	13.494	0.096	2.3641975308642	3628	330	#N/A	1269	50.5	Tnon_mito
ENSG00000167747	C19orf48	53.323	100.449	0.531	Neither	3.69245	0.00005	0.000236361	yes	4.895	78.599	0.062	0.0295809367296631	1844	908	333	354	54.79	Tnon_mito
ENSG00000142444	C19orf52	3.765	8.796	0.428	depleted	3.36689	0.00005	0.000236361	yes	0.346	6.883	0.050	2.94347826086957	1425	89	#N/A	783	52.55	Tnon_mito
ENSG00000104979	C19orf53	27.288	83.419	0.327	depleted	5.73019	0.00005	0.000236361	yes	2.505	65.273	0.038	1.92045454545455	873	309	262	300	54.88	Tnon_mito
ENSG00000188493	C19orf54	1.694	2.552	0.664	Neither	0.481147	0.26895	0.422976	no	0.156	1.997	0.078	9.03571428571429	2753	268	#N/A	1056	54.97	Tnon_mito
ENSG00000167595	C19orf55	22.433	8.494	2.641	enriched	-4.20531	0.00005	0.000236361	yes	2.059	6.647	0.310	4.58015267175573	3606	183	642	1443	53.93	Tnon_mito
ENSG00000132016	C19orf57	1.523	1.165	1.307	Neither	-0.302621	0.6032	0.728294	no	0.140	0.912	0.153	0.739837398373984	2489	392	162	2007	52.62	Tnon_mito
ENSG00000006015	C19orf60	4.878	21.808	0.224	depleted	2.62764	0.00005	0.000236361	yes	0.448	17.064	0.026	1.70142180094787	2465	76	155	606	60.24	Tnon_mito
ENSG00000130813	C19orf66	1.647	1.592	1.035	Neither	-0.128917	0.817	0.882331	no	0.151	1.246	0.121	#N/A	2140	297	942	876	56.65	Tnon_mito
ENSG00000185453	C19orf68	2.107	2.097	1.005	Neither	-0.00554182	0.98685	0.990227	no	0.193	1.641	0.118	#N/A	3588	22	360	2763	50.04	Tnon_mito
ENSG00000174917	C19orf70	4.715	21.399	0.220	depleted	2.07637	0.00315	0.0105285	yes	0.433	16.744	0.026	2.15977443609023	896	409	#N/A	423	61.19	Tpossible_mito
ENSG00000183397	C19orf71	2.420	2.840	0.852	Neither	0.10567	0.89015	0.929251	no	0.222	2.222	0.100	#N/A	674	23	19	630	56.26	Tnon_mito
ENSG00000221916	C19orf73	0.626	1.059	0.591	Neither	1.07832	0.0684	0.152144	no	0.058	0.829	0.069	#N/A	744	117	235	390	63.04	Tnon_mito
ENSG00000235034	C19orf81	0.565	5.250	0.108	Neither	1.54366	0.10835	0.221829	no	0.052	4.108	0.013	#N/A	765	10	167	597	50.87	Tnon_mito
ENSG00000197223	C1D	2.587	7.235	0.358	depleted	3.91076	0.00005	0.000236361	yes	0.237	5.661	0.042	1.24332810047096	2233	117	211	543	38.27	Tpossible_mito
ENSG00000106392	C1GALT1	42.041	37.689	1.115	Neither	-0.508327	0.381	0.538022	no	3.859	29.490	0.131	0.415525114155251	6235	273	#N/A	1092	37.33	Tnon_mito
ENSG00000171155	C1GALT1C1	2.035	4.423	0.460	depleted	4.13802	0.00005	0.000236361	yes	0.187	3.461	0.054	0.962247585601405	1613	233	278	957	40.73	Tnon_mito
ENSG00000163362	C1orf106	13.062	5.763	2.266	enriched	-2.83622	0.00005	0.000236361	yes	1.199	4.510	0.266	#N/A	4298	354	2105	1992	53.22	Tnon_mito
ENSG00000116922	C1orf109	15.297	20.289	0.754	Neither	1.42037	0.01375	0.0388641	yes	1.404	15.875	0.088	0.935727788279773	2622	507	60	612	48.39	Tnon_mito
ENSG00000000460	C1orf112	4.642	8.709	0.533	Neither	2.20838	0.00005	0.000236361	yes	0.426	6.815	0.063	0.773113708820404	4355	574	#N/A	2562	39.22	Tnon_mito
ENSG00000197982	C1orf122	10.413	72.969	0.143	depleted	2.69387	0.00005	0.000236361	yes	0.956	57.097	0.017	1.99090909090909	2229	1705	#N/A	333	63.25	Tnon_mito
ENSG00000162384	C1orf123	6.603	14.266	0.463	depleted	3.6544	0.00005	0.000236361	yes	0.606	11.163	0.054	1	1912	41	559	483	46.92	Tnon_mito
ENSG00000143633	C1orf131	11.842	11.344	1.044	Neither	-0.223104	0.68935	0.793806	no	1.087	8.876	0.122	0.559206023271732	2657	36	#N/A	882	43.5	Tnon_mito
ENSG00000131591	C1orf159	6.925	6.221	1.113	Neither	-0.462512	0.42795	0.581524	no	0.636	4.868	0.131	1.69565217391304	3315	630	796	1143	54.65	Tnon_mito
ENSG00000198912	C1orf174	13.839	13.956	0.992	Neither	0.0552598	0.91965	0.947146	no	1.270	10.920	0.116	0.8265625	3499	98	834	732	49.32	Tnon_mito
ENSG00000119280	C1orf198	15.444	21.781	0.709	Neither	1.70643	0.0031	0.0103821	yes	1.418	17.043	0.083	1.24803149606299	3858	268	230	984	47.8	Tnon_mito
ENSG00000116667	C1orf21	7.704	9.526	0.809	Neither	0.753682	0.1883	0.33198	no	0.707	7.454	0.095	0.206798866855524	10265	310	9463	366	40.26	Tnon_mito
ENSG00000142686	C1orf216	10.697	9.214	1.161	Neither	-0.688388	0.21935	0.368384	no	0.982	7.210	0.136	0.770833333333333	3218	765	1756	690	53.73	Tnon_mito
ENSG00000157181	C1orf27	4.218	7.060	0.597	Neither	1.68611	0.00385	0.0125846	yes	0.387	5.524	0.070	0.276779773785762	3792	136	474	1365	35.17	Tnon_mito
ENSG00000143793	C1orf35	5.767	8.228	0.701	Neither	1.59168	0.01035	0.0303072	yes	0.529	6.438	0.082	0.414835164835165	3554	234	399	792	60.86	Tnon_mito
ENSG00000143612	C1orf43	74.052	87.734	0.844	Neither	0.518776	0.32005	0.476898	no	6.797	68.650	0.099	0.58203125	1861	229	#N/A	762	45.88	Tnon_mito
ENSG00000164008	C1orf50	2.472	4.769	0.518	Neither	2.6662	0.00005	0.000236361	yes	0.227	3.731	0.061	1.49612403100775	996	42	#N/A	600	43.06	Tnon_mito
ENSG00000162642	C1orf52	22.506	20.400	1.103	Neither	-0.526787	0.3636	0.520949	no	2.066	15.962	0.129	0.801692865779927	3391	8	#N/A	549	39.66	Tnon_mito
ENSG00000203724	C1orf53	1.007	3.003	0.335	depleted	2.77268	0.00015	0.000660424	yes	0.092	2.350	0.039	#N/A	588	2	146	438	40.35	Tnon_mito
ENSG00000143443	C1orf56	1.890	2.045	0.924	Neither	0.0427192	0.8743	0.918829	no	0.173	1.600	0.108	1.51136363636364	2096	107	961	1026	48.39	Tnon_mito
ENSG00000125462	C1orf61	0.212	1.287	0.165	depleted	2.34385	0.00005	0.000236361	yes	0.019	1.007	0.019	#N/A	4774	74	141	566	51.53	Tnon_mito
